Number,Name,Description,Type,Estimate,Owner,Priority,Status,Created by,Modified by
82,GUI Integration,,Story,10,jia.liu,Must,Complete,jia.liu,jia.liu
55,Integration test,,Story,6,yakubu.aliyu_doma,Must,Complete,jia.liu,violetta.avkhukova
81,Priorities in junctions,,Story,2,rawan.alrahili,Must,Complete,jia.liu,jia.liu
88,Validate map,Check if there is a valid map,Story,4,violetta.avkhukova,Should,Complete,jia.liu,jia.liu
92,Add/Delete ambulance,,Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
94,Add set ticker speed dialogue,,Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
91,fix resizefactor bug,,Story,2,violetta.avkhukova,Must,Complete,jia.liu,jia.liu
95,"Add ""back"" button",,Story,2,jia.liu,Must,Complete,jia.liu,jia.liu
86,slider,,Story,4,jia.liu,Must,Complete,jia.liu,jia.liu
89,Logs for simulation,"<p>Generate logs</p>

<p> </p>

<p>Assign Id to vehicle</p>",Story,2,santiago_anda,Must,Complete,jia.liu,jia.liu
69,Integration test,"<p>when a road is closed, vehicle should stop.</p>

<p> </p>",Story,,jia.liu,Could,Complete,jia.liu,jia.liu
87,Decide where to put car generation method,,Story,,,,Complete,jia.liu,jia.liu
76,Add&delete vehicle,,Story,4,yakubu.aliyu_doma,Must,Complete,jia.liu,jia.liu
80,Add check if a lane is full,,Story,4,rawan.alrahili,Must,Complete,jia.liu,jia.liu
78,Checking Aggresive behaviour in GUI,"When car is set to aggressive behaviour, the GUI is not displaying properly the movement",Story,4,santiago_anda,Must,Complete,santiago_anda,jia.liu
90,fix when two cars choose the same lane,,Story,2,rawan.alrahili,Must,Complete,jia.liu,jia.liu
77,integration test,,Story,6,rawan.alrahili,Should,Complete,jia.liu,jia.liu
75,Try to build something for map builder mode,,Story,4,violetta.avkhukova,Should,Complete,violetta.avkhukova,jia.liu
74,Fix traffic lights for loaded map,They’re not changing color after loading a map,Story,4,violetta.avkhukova,Must,Complete,violetta.avkhukova,jia.liu
73,Ambulance class,"<p>High priority vehicle……</p>

<p>Fixing errors generated when an ambulance is spawned</p>",Story,6,yakubu.aliyu_doma,4,Complete,yakubu.aliyu_doma,jia.liu
45,Extend to vehicle turns,,Story,2,santiago_anda,Must,Complete,jia.liu,jia.liu
84,Enable Disable Lanes,,Story,4,santiago_anda,Must,Complete,jia.liu,jia.liu
52,Bigger Map,Create a bigger map with different intersections,Story,4,santiago_anda,Should,Complete,jia.liu,jia.liu
39,Integrate Vehicle with ticker,Make car move with ticker,Story,4,santiago_anda,Must,Complete,jia.liu,jia.liu
36,Fix Serialization UUID issue,,Story,2,violetta.avkhukova,Must,Complete,jia.liu,jia.liu
63,Trying to fix cars going into lanes,,Story,6,violetta.avkhukova,Should,Complete,jia.liu,violetta.avkhukova
